Date,Transaction #,Store #,Reg.:,Cashier:,Item,Item Description,Price,Tax Type,Quantity,Original Transaction:,Reason,Tax,Subtotal,Taxable,Total Tax,Total
09/25/2012,9680,07036,002,2214029,532781 0001,CS  SUPPRT   CAM,22.50,T,1,,,1.46,22.50,22.50,1.46,23.96
09/25/2012,9681,07036,002,2214029,224643 0001,ULSTRCTNGSHORT,5.00,T,1,,,0.33,25.00,25.00,1.63,26.63
09/25/2012,9681,07036,002,2214029,130233 0002,ULRTEENYELASTB,5.00,T,1,,,0.33,25.00,25.00,1.63,26.63
09/25/2012,9681,07036,002,2214029,133881 0001,ULRLACEYGS,5.00,T,1,,,0.32,25.00,25.00,1.63,26.63
09/25/2012,9681,07036,002,2214029,133877 0000,ULRLACEYGS,5.00,T,1,,,0.33,25.00,25.00,1.63,26.63
09/25/2012,9681,07036,002,2214029,683430 0001,ULSTRCTNGSHORT,5.00,T,1,,,0.32,25.00,25.00,1.63,26.63
09/25/2012,9682,07036,002,2214029,115496 0001,LRSCSKBIKLCAPP,2.09,T,1,,,0.14,8.36,8.36,0.54,8.90
09/25/2012,9682,07036,002,2214029,104567 0001,ULRSCTNGLACEY,2.09,T,1,,,0.13,8.36,8.36,0.54,8.90
09/25/2012,9682,07036,002,2214029,104579 0001,ULRSCTNGLACEY,2.09,T,1,,,0.14,8.36,8.36,0.54,8.90
09/25/2012,9682,07036,002,2214029,104553 0001,LRSTRCTNHPSTR,2.09,T,1,,,0.13,8.36,8.36,0.54,8.90
09/25/2012,9683,07036,002,2214029,953244 0002,NEWRCRBCKPLOVR,20.00,T,1,,,0.52,8.00,8.00,0.52,8.52
09/25/2012,9684,07036,002,2214029,105467 0003,UNI  POLO  DRS,-7.79,,1,06321007050520120916,Item Returned,-0.47,37.87,45.66,2.50,40.37
09/25/2012,9684,07036,002,2214029,104953 0002,NEWSIGLCBRALET,8.99,,1,06321007050520120916,Item Returned,0.44,37.87,45.66,2.50,40.37
09/25/2012,9684,07036,002,2214029,104953 0002,Discount   :  25%,-2.25,,1,06321007050520120916,Item Returned,0.15,37.87,45.66,2.50,40.37
09/25/2012,9684,07036,002,2214029,104465 0002,SEXYLCCHKYTHG,2.99,,1,06321007050520120916,Item Returned,0.15,37.87,45.66,2.50,40.37
09/25/2012,9684,07036,002,2214029,104465 0002,Discount   :  25%,-0.75,,1,06321007050520120916,Item Returned,0.78,37.87,45.66,2.50,40.37
09/25/2012,9684,07036,002,2214029,104282 0002,SEXYLACETANGA,2.99,,1,06321007050520120916,Item Returned,0.14,37.87,45.66,2.50,40.37
09/25/2012,9684,07036,002,2214029,104282 0002,Discount   :  25%,-0.75,,1,06321007050520120916,Item Returned,0.55,37.87,45.66,2.50,40.37
09/25/2012,9684,07036,002,2214029,105315 1218,WED  ARGYLE   1PC,15.97,,1,06321007050520120916,Item Returned,0.38,37.87,45.66,2.50,40.37
09/25/2012,9684,07036,002,2214029,105315 1218,Discount   :  25%,-3.99,,1,06321007050520120916,Item Returned,0.38,37.87,45.66,2.50,40.37
09/25/2012,9684,07036,002,2214029,104260 0003,SEXYLACEGRLST,2.99,,1,06321007050520120916,Item Returned,,37.87,45.66,2.50,40.37
09/25/2012,9684,07036,002,2214029,104260 0003,Discount   :  25%,-0.75,,1,06321007050520120916,Item Returned,,37.87,45.66,2.50,40.37
09/25/2012,9684,07036,002,2214029,105692 0002,LACE   BRALETTE,11.39,,1,06321007050520120916,Item Returned,,37.87,45.66,2.50,40.37
09/25/2012,9684,07036,002,2214029,105692 0002,Discount   :  25%,-2.85,,1,06321007050520120916,Item Returned,,37.87,45.66,2.50,40.37
09/25/2012,9684,07036,002,2214029,129454 0001,BUTTON   SHOULDE,7.79,,1,06321007050520120916,Item Returned,,37.87,45.66,2.50,40.37
09/25/2012,9684,07036,002,2214029,129454 0001,Discount   :  25%,-1.95,,1,06321007050520120916,Item Returned,,37.87,45.66,2.50,40.37
09/25/2012,9684,07036,002,2214029,123825 0001,BUTTON   SHOULDE,7.79,,1,06321007050520120916,Item Returned,,37.87,45.66,2.50,40.37
09/25/2012,9684,07036,002,2214029,123825 0001,Discount   :  25%,-1.95,,1,06321007050520120916,Item Returned,,37.87,45.66,2.50,40.37
09/25/2012,9685,07036,002,2214029,105467 0003,UNI  POLO  DRS,-7.79,T,1,06321007050520120916,Item Returned,-0.47,37.14,44.93,2.45,39.59
09/25/2012,9685,07036,002,2214029,123825 0001,BUTTON   SHOULDE,7.79,T,1,06321007050520120916,Item Returned,0.51,37.14,44.93,2.45,39.59
09/25/2012,9685,07036,002,2214029,129454 0001,BUTTON   SHOULDE,7.79,T,1,06321007050520120916,Item Returned,0.51,37.14,44.93,2.45,39.59
09/25/2012,9685,07036,002,2214029,105692 0002,LACE   BRALETTE,11.39,T,1,06321007050520120916,Item Returned,0.74,37.14,44.93,2.45,39.59
09/25/2012,9685,07036,002,2214029,104260 0003,SEXYLACEGRLST,2.99,T,1,06321007050520120916,Item Returned,0.19,37.14,44.93,2.45,39.59
09/25/2012,9685,07036,002,2214029,104282 0002,SEXYLACETANGA,2.99,T,1,06321007050520120916,Item Returned,0.19,37.14,44.93,2.45,39.59
